"date_col","air_pressure","air_temperature","relative_humidity","wind_speed","wind_direction","Measured_Upscaled"
2018-11-11,48076.61,566.33,3988.37333333333,396.863333333333,8740.33333333333,7582.364
2018-11-12,48548.6933333334,524.673333333333,4256.94,269.903333333333,8578.26666666667,1867.236
2018-11-13,49008.0033333333,517.926666666667,4102.40333333333,353.973333333333,9474.1,6254.651
2018-11-14,49155.7066666666,479.823333333333,4018.15,251.02,7738,3091.568
2018-11-15,49051.1833333333,431.513333333333,4251.90666666666,244.243333333333,7625.1,1528.504
2018-11-16,49208.2,310.886666666667,4781.27666666667,192.706666666667,6195.46666666667,955.16
2018-11-17,49293.6366666667,293.233333333333,4140.37333333333,308.276666666667,4285.6,5110.656
2018-11-18,49252.3,282.063333333333,3252.17333333333,396.54,3165.06666666667,5138.679
2018-11-19,48860.01,292.206666666667,3688.62666666667,547.8,2619.03333333333,8150.626
2018-11-20,48321.3366666666,217.98,3536.61,487.606666666667,3724.33333333333,7622.392
2018-11-21,48637.1333333333,225.66,3835.20666666667,222.823333333333,5449.43333333333,1221.983
2018-11-22,48814.0733333333,188.963333333333,4123.8,186.993333333333,5111.56666666667,992.037
2018-11-23,48654.9833333334,295.176666666667,4153.14,205.916666666667,5330.1,1542.656
2018-11-24,48435.32,234.456666666667,4391.52333333333,220.553333333333,4132.86666666667,827.492
2018-11-25,48438.7666666666,212.696666666667,4550.12333333333,293.446666666667,3160.93333333333,1091.123
2018-11-26,48522.9866666667,276.306666666667,4451.47666666667,225.053333333333,3709.66666666667,1048.379
2018-11-27,48764.36,272.67,4453.14666666667,269.296666666667,6193.9,1660.82
2018-11-28,48544.6166666667,433.093333333333,4340.08666666667,463.25,8028.86666666667,8307.338
2018-11-29,48276.62,535.393333333333,3834.62333333333,493.423333333333,8495.2,8742.313
2018-11-30,48372.8033333334,447.89,4059.73333333333,342.48,9546.6,5244.312
2018-12-01,48280.4566666666,408.55,4362.61333333333,412.256666666667,8656.36666666666,8085.75
2018-12-02,47883.85,594.023333333333,4458.70333333333,433.113333333333,10631.4333333333,8974.261
2018-12-03,47987.3633333333,560.156666666666,4192.04333333333,417.943333333334,11784.1,7093.335
2018-12-04,48915.14,412.053333333333,3504.03,158.046666666667,12118.4333333333,951.325
2018-12-05,48790.23,397.386666666667,4201.85333333333,309.766666666667,7649.36666666666,3806.008
2018-12-06,48627.0366666667,549.56,4447.67333333333,329.663333333333,10401.6,5117.241
2018-12-07,48173.75,510.346666666666,4060.61333333333,502.58,10878.9666666667,11014.612
2018-12-08,48031.82,513.433333333333,3592.13666666667,594.536666666667,11641.8333333333,13019.481
2018-12-09,48230.71,463.696666666666,3511.03666666667,504.953333333333,13757.2333333333,10349.79
2018-12-10,49088.58,388.873333333334,3356.90333333333,394.423333333333,14951.1,5466.944
2018-12-11,49160.3333333333,352.133333333333,3308.41,147.12,10458.6,1298.134
2018-12-12,49109.0266666667,219.376666666667,4028.38,185.186666666667,5966.9,1026.458
2018-12-13,48903.7966666667,132.093333333333,3967.80333333333,345.27,4452.36666666666,4451.105
